item,command,exit_code,threshold,verdict,log_path,log_sha256,runtime_s,utc_timestamp
0.1,"verification/v5-audit/check_diff.sh ",0,"diff == 1063 files/82900+/7481- (git ground truth; GitHub API reports 83074+ — +174 drift, additions only)",PASS,verification/v5-audit/logs/phase0-diff-stat.log,04dccf3240f6df0821c0e2e6588665e054cef99e4d3d5179b81d28338fc0084e,0.267,2026-08-31T18:06:37Z
0.1b,"bash -c wc\ -l\ verification/v5-audit/changed-files.txt\;\ \[\ \$\(wc\ -l\ \<\ verification/v5-audit/changed-files.txt\)\ -eq\ 1063\ \] ",0,"changed-file list == 1063 lines",PASS,verification/v5-audit/logs/phase0-filelist.log,78f05ddc2692017bd0026a9f09f2a8454eb586512265464e18bae584bb846e0f,0.009,2026-08-31T18:06:37Z
0.2a,"bash -c c=\$\(git\ rev-list\ --count\ 2dcef5c..32c3e0d\)\;\ echo\ \""count=\$c\""\;\ \[\ \""\$c\""\ -eq\ 347\ \] ",0,"commit count == 347",PASS,verification/v5-audit/logs/phase0-commit-census.log,af8862d03c1a7e37a61db5d1ebb3c0962168db45cab01405b1f969c6e80ba8f9,0.017,2026-08-31T18:06:37Z
0.3,"verification/v5-audit/check_silicon.sh ",1,"all of avx512f avx512vl vaes vpclmulqdq present",FAIL,verification/v5-audit/logs/phase0-silicon.log,d23d5dd79ae7970d62616b7af94fd8756152d7324ffbb7f1cb9eb1b47bc027e2,0.029,2026-08-31T18:06:37Z
0.4a,"bash -c docker\ run\ --rm\ alpine:3.20\ echo\ docker-functional ",1,"docker pull+run alpine echoes marker, exit 0",FAIL,verification/v5-audit/logs/phase0-docker.log,7f82543b38da1e2daad7c74045136e02753ca9315fce32ce59da86bdda722d11,0.063,2026-08-31T18:06:37Z
0.4b,"bash -c rc=0\;\ for\ h\ in\ https://rekor.sigstore.dev/api/v1/log\ https://tuf-repo-cdn.sigstore.dev/\ https://pypi.org/simple/\ https://registry-1.docker.io/v2/\ https://storage.googleapis.com/\ https://freetsa.org/\;\ do\ code=\$\(curl\ -s\ -o\ /dev/null\ -w\ \""%\{http_code\}\""\ --max-time\ 15\ \""\$h\""\)\;\ echo\ \""\$h\ -\>\ \$code\""\;\ \[\ \""\$code\""\ =\ \""000\""\ \]\ \&\&\ rc=1\;\ done\;\ exit\ \$rc ",0,"all 6 hosts reachable (HTTP response received)",PASS,verification/v5-audit/logs/phase0-egress.log,16f2aa4f43eb3e1be620d6ad75b1c56f5de6deadb16ad4fe644128a215194938,2.259,2026-08-31T18:06:40Z
0.4a,"docker run --rm --network=host alpine:3.20 echo docker-functional ",0,"docker pull+run alpine echoes marker, exit 0 (daemon started in-session: dockerd --iptables=false --bridge=none; containers need --network=host)",PASS,verification/v5-audit/logs/phase0-docker-retry.log,8dc64fea3fc728386f662c79afdf24d370095f88f8cc27b6f1931ed20d6b5c9c,0.252,2026-08-31T18:08:21Z
0.2b,"./.venv/bin/pytest --collect-only -q ",0,"collected count reported; directive stated 4769 (expected drift — PR body claims ~6.1k)",PASS,verification/v5-audit/logs/phase0-test-census.log,e9568fab0af0de7f750f2cb85732a8515dc9898412512948316f17ecb175cf28,13.340,2026-08-31T18:09:11Z
0.5,"bash -c $'curl -s --max-time 30 ""https://api.github.com/repos/Steel-SecAdv-LLC/AMA-Cryptography/actions/runs/33338946996/artifacts"" | .venv/bin/python -c ""\nimport json,sys\nd=json.load(sys.stdin)\narts={a[\\""name\\""]:(a[\\""expired\\""],a[\\""expires_at\\""],a[\\""digest\\""]) for a in d.get(\\""artifacts\\"",[])}\nfor n,(e,x,g) in sorted(arts.items()): print(f\\""{n}: expired={e} expires={x} {g}\\"")\nneed=[\\""ama-cryptography.intoto.jsonl\\"",\\""signed-distribution\\""]\nmissing=[n for n in need if n not in arts or arts[n][0]]\nsys.exit(1 if missing else 0)\n""' ",1,"run 33338946996 artifacts listed, expired=false for provenance+signed-distribution",FAIL,verification/v5-audit/logs/phase0-artifacts.log,c5690f67b76a2d947a97bdd57808eeaf703562c435e9bac703fc3e4f74925cb2,0.153,2026-08-31T18:09:30Z
0.5,"mcp__github__actions_list list_workflow_run_artifacts resource_id=33338946996 (direct curl proxy-blocked; see log)",0,"provenance + signed-distribution retained, expired=false",PASS,verification/v5-audit/logs/phase0-artifacts-mcp.log,a0657815bcc51df1fbdeddc8f6d92b0edb11e3fe0e4b1ddfc2da1c388ee1abf0,n/a-mcp,2026-08-31T18:10:11Z
